orig.ident	nCount_Spatial	nFeature_Spatial	ident	in_tissue	row	col	imagerow	imagecol	cluster.init	spatial.cluster	TransformerST
SeuratProject	7993	3360	SeuratProject	1	50	102	5739	6377	3	3	10
SeuratProject	13538	4473	SeuratProject	1	59	19	6647	1870	3	3	3
SeuratProject	3810	1749	SeuratProject	1	43	9	5139	1307	3	3	2
SeuratProject	3872	1829	SeuratProject	1	47	13	5515	1529	3	3	4
SeuratProject	2995	1450	SeuratProject	1	73	43	7957	3193	3	3	7
SeuratProject	34293	6664	SeuratProject	1	62	0	6944	839	10	10	6
SeuratProject	3880	1805	SeuratProject	1	61	97	6785	6118	3	3	4
SeuratProject	12430	4223	SeuratProject	1	45	115	5257	7079	3	3	10
SeuratProject	5007	2080	SeuratProject	1	54	124	6103	7579	3	3	4
SeuratProject	2803	1352	SeuratProject	1	42	28	5031	2340	3	3	4
SeuratProject	5332	2279	SeuratProject	1	52	42	5969	3114	3	3	2
SeuratProject	5148	2221	SeuratProject	1	65	83	7173	5360	3	3	8
SeuratProject	14399	4519	SeuratProject	1	37	19	4564	1844	6	3	0
SeuratProject	21416	4615	SeuratProject	1	58	4	6563	1052	10	10	6
SeuratProject	6798	2712	SeuratProject	1	35	79	4334	5108	3	3	1
SeuratProject	6174	2456	SeuratProject	1	65	91	7167	5796	3	3	1
SeuratProject	12869	4252	SeuratProject	1	67	59	7378	4056	3	3	7
SeuratProject	5790	2530	SeuratProject	1	66	70	7276	4654	3	3	7
SeuratProject	28398	6671	SeuratProject	1	23	113	3175	6945	8	3	5
SeuratProject	4128	1869	SeuratProject	1	45	67	5289	4466	3	3	2
SeuratProject	15887	4901	SeuratProject	1	64	12	7126	1495	3	3	3
SeuratProject	12364	4031	SeuratProject	1	45	19	5321	1853	3	3	9
SeuratProject	17169	4552	SeuratProject	1	64	2	7132	950	3	10	6
SeuratProject	2893	1354	SeuratProject	1	10	48	1987	3391	3	3	2
SeuratProject	7425	2845	SeuratProject	1	29	15	3809	1617	3	3	0
